,Tweets
606,b'@catherinem23 Wow! Interesting to hear these stories from not so long ago #AppleEDUchat'
607,b'@LyndseyBalfe @AmarjitMarva Hey \xf0\x9f\x91\x8b Thanks for coming #AppleEDUchat'
608,"b""Hope it's ok to crash a bit late here, but Erika from Philadelphia, PA... #AppleEDUchat"""
609,b'A1: A little closer to home @lararikers and @m_mccracken11 have been wonderful inspiration for me over the last 2 year - our adventures in #translanguaging have opened up a new world for me #AppleEDUchat'
610,b'@LyndseyBalfe @AmarjitMarva @MrsLauraW Hi! Glad you made it #appleEDUchat'
611,b'@jakobesben Yay! Thanks Jakob \xf0\x9f\x98\x8e #AppleEDUchat'
612,"b'@catherinejessey Hi, glad you made it! #AppleEDUchat'"
613,b'@Mrs_Educate @GosiaLibrarian looks amazing #AppleEDUchat'
614,b'A1. Growing up it was mostly characters in books or tv that were inspiring. Seeing characters like female judges played by @AmyBrenneman made teenage me think anything was possible #AppleEDUchat'
615,b'A1 My mum and aunts. During a lesson yesterday I told the children that my Grandmother was once told that her daughters could always have the jobs the boys didn\xe2\x80\x99t want!  #AppleEDUchat'
616,b'@jakobesben Welcome! #AppleEDUchat'
617,"b'@AmarjitMarva @MrsLauraW Hi everyone, Lyndsey from Dublin, \xf0\x9f\x87\xae\xf0\x9f\x87\xaa #AppleEDUchat'"
618,b'Hi everyone!! Catherine here from Brighton \xf0\x9f\x91\x8b currently multitasking planning for a first day back in the classroom tomorrow and 6 periods to prepare for \xf0\x9f\xa5\xb4 #AppleEDUchat'
619,b'@catherinem23 Hello! Thanks for coming #AppleEDUchat'
620,"b'@catherinem23 Hello, so glad you\xe2\x80\x99re here #AppleEDUchat'"
621,b'@LevackTeachTech @Mrs_Educate Hello lovely! Thanks for coming #AppleEDUchat'
622,"b'@LevackTeachTech @MrsLauraW Hi, glad to have you! #appleEDUchat'"
623,b'Hallo Jakob from Denmark  #AppleEDUchat https://t.co/SZOurnpvua'
624,"b'A1: Educational pioneer Maria #Montessori has been a great inspiration in my life. She was the first woman to study medicine in Italy and even though she was professionally looked over, she had and continues to have a massive impact on the world #AppleEDUchat'"
625,b'@aliciabankhofer Brilliant! Thanks for coming #AppleEDUchat'
626,b'@aliciabankhofer Hello! Glad to have you #AppleEDUchat'
627,b'A1: #AppleEDUchat Teaching RE I often teach about classic women like Rosa Parks who stood up for their beliefs. My new reading book looks at female philosophy and loving it. Otherwise closer to home are the women in my family. https://t.co/pY8f7q5bT2'
628,b'RT @MrsLauraW: Welcome to #AppleEDUchat on promoting gender equality in education. Please introduce yourself and let us know where in the w\xe2\x80\xa6'
629,b'RT @Mrs_Educate: Q1: Who has been an inspirational women in your life? \n\n #AppleEDUchat #IWD2021 #InternationalWomensDay https://t.co/L8W9Y\xe2\x80\xa6'
630,b'Hi All Catherine checking in for tonight\xe2\x80\x99a chat! #AppleEDUchat'
631,b'@MrsLauraW @Mrs_Educate Hi! Lorna from the Netherlands #AppleEDUchat'
632,"b'Hello all! Alicia joining from Vienna, Austria \xf0\x9f\x87\xa6\xf0\x9f\x87\xb9 How is everyone doing? #AppleEDUChat'"
633,b'Q1: Who has been an inspirational women in your life? \n\n #AppleEDUchat #IWD2021 #InternationalWomensDay https://t.co/L8W9YSm4g5'
634,b'@mcoutts81 Evening @mcoutts81 - hope you\xe2\x80\x99re well #AppleEDUchat'
635,b'RT @mcoutts81: Join hosts @Mrs_Educate &amp; @MrsLauraW 8pm GMT (9pm CET/12pm PT) for a discussion about promoting gender equality in education\xe2\x80\xa6'
636,b'Evening #AppleEDUChat Martin from the NE of \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf'
637,b'@See_Genius Hello and welcome! \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f #AppleEDUchat'
638,b'Hi there! Fons from The Netherlands  #AppleEduChat'
639,b'@AmarjitMarva Hello \xf0\x9f\x91\x8b don\xe2\x80\x99t forget to include the #AppleEDUchat hashtag so you tweets will be saved in the Wakelet'
640,b'@MirCWalsh Hello! Glad to have you join #AppleEDUchat'
641,b'Miriam joining from \xf0\x9f\x87\xae\xf0\x9f\x87\xaa \xf0\x9f\x91\x8b #appleeduchat'
642,"b'RT @cre8Rt: A while ago I asked @meesterkurt Is it possible to design a School Planner in #Numbers? The response: Yes, and...we can do it t\xe2\x80\xa6'"
643,"b'Goedenavond from the Netherlands! My name is Laura Wright, I am a primary teacher tweeting tonight from the Hague! #AppleEDUchat'"
644,b'RT @MrsLauraW: Welcome to #AppleEDUchat on promoting gender equality in education. Please introduce yourself and let us know where in the w\xe2\x80\xa6'
645,"b'Hi all \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f Laura here from Kent, UK. Primary teacher and Junior Subject Coordinator. #AppleEDUchat'"
646,b'Welcome to #AppleEDUchat on promoting gender equality in education. Please introduce yourself and let us know where in the world you are tweeting from tonight \xf0\x9f\x8c\x8d https://t.co/fOhZ0x8rkn'
647,b'RT @mat6453: Thanks to those that attended the session on Getting Started with Podcasting from the @SouthWalesRTC If you couldn\xe2\x80\x99t make it y\xe2\x80\xa6'
648,"b'Headphones on, family watching Matt Smith Doctor Who, and I\xe2\x80\x99m listening to an amazing opera singer @JoyceDiDonato on the @apple \xe2\x80\x98Women in Classical Music\xe2\x80\x99 playlist \xf0\x9f\x98\x8e #AppleEDUchat is about to begin! https://t.co/h137MkdXZp'"
649,"b'#AppleEDUchat I am building a field of 3 choice board in Keynote. When a student makes a choice, I would like it to link to another slide that shows the image and plays a sound file that names it without having to tap the slide again. Is this possible?'"
650,b'Nearly there! Please do join us tonight at 8pm GMT\n\n #iwd #IWD2021 \n\n#AppleEDUchat https://t.co/qQJl1p9fNJ'
651,"b""RT @joinbubble: 3, 2, 1... and they're live! GoBubble, your classroom's safer social media, now introduces Global Groups. Giving you and yo\xe2\x80\xa6"""
652,"b'RT @MrsLauraW: Gender equality in education, with a particular focus on technology - hope to see you there! #AppleEDUchat 1 hour to go! @Mr\xe2\x80\xa6'"
653,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
654,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
655,"b'Gender equality in education, with a particular focus on technology - hope to see you there! #AppleEDUchat 1 hour to go! @Mrs_Educate https://t.co/PAr8kHrQm0'"
656,b'RT @mcoutts81: Join hosts @Mrs_Educate &amp; @MrsLauraW 8pm GMT (9pm CET/12pm PT) for a discussion about promoting gender equality in education\xe2\x80\xa6'
657,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
658,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
659,b'RT @mcoutts81: Join hosts @Mrs_Educate &amp; @MrsLauraW 8pm GMT (9pm CET/12pm PT) for a discussion about promoting gender equality in education\xe2\x80\xa6'
660,b'RT @mcoutts81: Join hosts @Mrs_Educate &amp; @MrsLauraW 8pm GMT (9pm CET/12pm PT) for a discussion about promoting gender equality in education\xe2\x80\xa6'
661,b'Join hosts @Mrs_Educate &amp; @MrsLauraW 8pm GMT (9pm CET/12pm PT) for a discussion about promoting gender equality in education. See a preview of their questions in the #AppleTeacher Learning Center to help you prepare.\n#AppleEDUChat https://t.co/na7UqotV5p'
662,b'RT @shmaynor: Wisdom from the fabulous @PearlSBuckIntl - Have you discovered your creative instinct? What will you create today? #AppleEDUc\xe2\x80\xa6'
663,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
664,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
665,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
666,"b""RT @EdTechLori: I've gathered a collection of templates, workbooks, &amp; learning journals created by amazing educators for my Ts, now I'm sha\xe2\x80\xa6"""
667,b'RT @JacobWoolcock: \xf0\x9f\xa7\x91\xe2\x80\x8d\xf0\x9f\x8e\xa8My #QuickLesson this week will introduce your pupils to some awesome animations as they make their own portrait.\n\n\xe2\x9c\x8f\xef\xb8\x8fG\xe2\x80\xa6'
668,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
669,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
670,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
671,"b'RT @rmbtowner_tech: @BerwynSouth100 Apple Professional Learning Virtual Conferences Online\nExplore helpful resources, practice new skills,\xe2\x80\xa6'"
672,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
673,b'Everyone can join tonight\xe2\x80\x99s EIMEA chat! #AppleEDUchat https://t.co/JYgHdf3Llu https://t.co/HSoYogv5WT'
674,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
675,b'RT @MrsLauraW: Hello @ishthehaguenl colleagues and friends! Please join me tonight if you can for this discussion on promoting gender equal\xe2\x80\xa6'
676,"b'RT @rmbtowner_tech: @BerwynSouth100 Apple Professional Learning Virtual Conferences Online\nExplore helpful resources, practice new skills,\xe2\x80\xa6'"
677,"b'RT @Veescope: Better, faster and smaller app than #Movie, @veescope editing timeline is great for vloging. #covid19 #greenscreen #veescope\xe2\x80\xa6'"
678,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
679,"b'Better, faster and smaller app than #Movie, @veescope editing timeline is great for vloging. #covid19 #greenscreen #veescope #internationalWomensDay #iphone #ipad #AppleEDUChat #edtech #ipaded #education #distanceLearning #remotelearning https://t.co/j4JiuzmuLQ https://t.co/kc5204PJbY'"
680,"b'@BerwynSouth100 Apple Professional Learning Virtual Conferences Online\nExplore helpful resources, practice new skills, and reflect on ways Apple technology can support great learning and teaching. https://t.co/VqaAeG3i9q #ADS #AppleEDUchat #D100Inspires'"
681,b'Wisdom from the fabulous @PearlSBuckIntl - Have you discovered your creative instinct? What will you create today? #AppleEDUchat #InternationalWomensDay #IWD2021 #creativity @techclassrocks @joyfulDuplisea @HollyMecher @MrsTLeon https://t.co/I7EJcm29j4'
682,b'RT @MrsLauraW: Hope to see you there! How could I have forgotten to tag you? #AppleEDUchat  @mcoutts81 @MirCWalsh @mat6453 @stuarthamm @mee\xe2\x80\xa6'
683,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
684,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
685,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
686,"b""School's partnering with families to help students develop their #SelfManagement &amp; healthy habits. \nTackling #DigitalDependency with #AppleEDUchat https://t.co/24wAntB9ei"""
687,b'RT @Mrs_Educate: Join me and \xe2\x81\xa6@MrsLauraW\xe2\x81\xa9 host this amazing chat tomorrow at 8pm GMT\n\n#AppleEDUchat \xe2\x81\xa6@AppleEDU\xe2\x81\xa9 #IWD2021 #InternationalWome\xe2\x80\xa6'
688,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
689,b'RT @shmaynor: Grateful for these amazing &amp; inspiring women: @mschmitz_1 @joyfulDuplisea @techclassrocks @alma_henry @kelsey_stimatze @Holly\xe2\x80\xa6'
690,b'RT @Mrs_Educate: Join me and \xe2\x81\xa6@MrsLauraW\xe2\x81\xa9 host this amazing chat tomorrow at 8pm GMT\n\n#AppleEDUchat \xe2\x81\xa6@AppleEDU\xe2\x81\xa9 #IWD2021 #InternationalWome\xe2\x80\xa6'
691,"b""RT @TechMrHenderson: Want a way of tracking student reflection and MAP data? Download my new 'Ownership of Learning' Numbers document! Plea\xe2\x80\xa6"""
692,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
693,"b'RT @techclassrocks: Day 68:  Still Dabbling\n\nI love this piece, even though it\xe2\x80\x99s been a slow process.  \nNowhere near completion, but I keep\xe2\x80\xa6'"
694,b'RT @MrsLauraW: Hope to see you there! How could I have forgotten to tag you? #AppleEDUchat  @mcoutts81 @MirCWalsh @mat6453 @stuarthamm @mee\xe2\x80\xa6'
695,"b'Day 68:  Still Dabbling\n\nI love this piece, even though it\xe2\x80\x99s been a slow process.  \nNowhere near completion, but I keep coming back to it and the subtle changes are only making it better.\n\n#365Tunes2021 #AppleEDUchat #EveryoneCanCreate #LogicPro https://t.co/uB8bOBUXq3'"
696,b'RT @MrsLauraW: Hello @ishthehaguenl colleagues and friends! Please join me tonight if you can for this discussion on promoting gender equal\xe2\x80\xa6'
697,b'RT @MrsLauraW: Hope to see you there! How could I have forgotten to tag you? #AppleEDUchat  @mcoutts81 @MirCWalsh @mat6453 @stuarthamm @mee\xe2\x80\xa6'
698,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
699,"b'RT @mcoutts81: Meet Cmdr. Elise Booster. She\xe2\x80\x99s going to help me train the next group of astronauts. They\xe2\x80\x99ll be using their literacy, numera\xe2\x80\xa6'"
700,b'More @BookCreatorApp fun for Year 1 students. They\xe2\x80\x99ve been learning about explorers in their topic. They are going to use this template to search for pictures and add their favourite facts about some amazing explorers #ADE #AppleEduChat #AppleDistinguishedSchool @ArcadiaSch https://t.co/x4ySM5Bum5'
701,b'RT @Mrs_Educate: Join me and \xe2\x81\xa6@MrsLauraW\xe2\x81\xa9 host this amazing chat tomorrow at 8pm GMT\n\n#AppleEDUchat \xe2\x81\xa6@AppleEDU\xe2\x81\xa9 #IWD2021 #InternationalWome\xe2\x80\xa6'
702,b'RT @MrsLauraW: Hope to see you there! How could I have forgotten to tag you? #AppleEDUchat  @mcoutts81 @MirCWalsh @mat6453 @stuarthamm @mee\xe2\x80\xa6'
703,b'Hope to see you there! How could I have forgotten to tag you? #AppleEDUchat  @mcoutts81 @MirCWalsh @mat6453 @stuarthamm @meesterkurt @ckklynen https://t.co/aGcGi1ZwtB'
704,b'Hello @ishthehaguenl colleagues and friends! Please join me tonight if you can for this discussion on promoting gender equality in education #AppleEDUchat @PatriciaHubbers @GoodhandSarah @lararikers @JuliettevanEer1 @inarushe Please share with anyone else on @Twitter https://t.co/aGcGi1ZwtB'
705,"b'RT @MrsKemper: Well friends, I\xe2\x80\x99ve been working on something and I\xe2\x80\x99m not finished yet...\n\nHow might we ensure that all learners can access a\xe2\x80\xa6'"
706,b'RT @Mrs_Educate: Join me and \xe2\x81\xa6@MrsLauraW\xe2\x81\xa9 host this amazing chat tomorrow at 8pm GMT\n\n#AppleEDUchat \xe2\x81\xa6@AppleEDU\xe2\x81\xa9 #IWD2021 #InternationalWome\xe2\x80\xa6'
707,b'RT @iJoeRobinson: Whoa! /downloads /listens #AppleEDUchat #AppleEDULeaderChat #AppleTeacher #learningwithapple https://t.co/9PIrGl6CeK'
708,b'Are you ready to become an Apple Learning Leader?\n\nJoin our next ALI event starting next month with @Aspire2Be. Learn more and sign up here: https://t.co/PWEcg6TGby\n\n#AppleTeacher #AppleEduChat @AppleEDU https://t.co/1lqDByVJyF'
709,b'RT @Mrs_Educate: Join me and \xe2\x81\xa6@MrsLauraW\xe2\x81\xa9 host this amazing chat tomorrow at 8pm GMT\n\n#AppleEDUchat \xe2\x81\xa6@AppleEDU\xe2\x81\xa9 #IWD2021 #InternationalWome\xe2\x80\xa6'
710,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
711,b'GarageBand wow #EveryoneCanCreate #AppleEDUchat https://t.co/EkgQnqdnmk'
712,b'Quotes ofvthe day #EveryoneCanCreate #AppleEDUchat https://t.co/eEEh0TkwWv'
713,b'Notes #EveryoneCanCreate #AppleEDUchat https://t.co/WYeA5KixVq'
714,b'RT @Mrs_Educate: Join me and \xe2\x81\xa6@MrsLauraW\xe2\x81\xa9 host this amazing chat tomorrow at 8pm GMT\n\n#AppleEDUchat \xe2\x81\xa6@AppleEDU\xe2\x81\xa9 #IWD2021 #InternationalWome\xe2\x80\xa6'
715,b'Another fantastic resource created by the talented @rdwilliams2 with the support and knowledge of @oliviaburt03 - we cannot wait to implement this as a team and for the benefit of our students. #ade2019 #everyonecancreate #Appleeduchat @AppleEdu https://t.co/UTXAX1pHk1'
716,b'@Mrs_Educate @AppleEDU Momentary lapse of consciousness- how could I have missed @lyndsdive85 @lvnslssn ? #AppleEDUchat #shocking'
717,"b'RT @mrkpyp: To support Y1 #HWEO #UOI, Ss duplicated &amp; edited a photo of their choice expressing a different set of feelings/emotions than t\xe2\x80\xa6'"
718,"b'To support Y1 #HWEO #UOI, Ss duplicated &amp; edited a photo of their choice expressing a different set of feelings/emotions than the original photo. All sharing &amp; explanations facilitated through @Seesaw &amp; photo editing using #ApplePhotos #EveryoneCanCreate @AppleEDU #AppleEDUchat https://t.co/CpFa2jbxjn'"
719,"b'RT @MrsKemper: Well friends, I\xe2\x80\x99ve been working on something and I\xe2\x80\x99m not finished yet...\n\nHow might we ensure that all learners can access a\xe2\x80\xa6'"
720,b'RT @dang_appling: \xf0\x9f\xa4\xaf (fn)x2 and my work is through!!\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9#teachertwitter #gegmuscat #techtips #AppleEDUchat @GegMuscat @AmmanGEG @GEGSUDAN @GEG\xe2\x80\xa6'
721,b'RT @klbeasley: #MediaMentorMonth balance:\n\n\xf0\x9f\x9a\xab\xf0\x9f\x93\xb1\xf0\x9f\x92\xbb Schedule 30 minutes with your child with all devices turned off.\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc All activities availabl\xe2\x80\xa6'
722,b'I cannot say enough about how much time my #ApplePencil and the ability to #markup a photo in iOS editor saves me on the daily! #AppleEDUchat https://t.co/iA6XC5QtC8'
723,b'RT @klbeasley: #MediaMentorMonth balance:\n\n\xf0\x9f\x9a\xab\xf0\x9f\x93\xb1\xf0\x9f\x92\xbb Schedule 30 minutes with your child with all devices turned off.\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc All activities availabl\xe2\x80\xa6'
724,"b'Well friends, I\xe2\x80\x99ve been working on something and I\xe2\x80\x99m not finished yet...\n\nHow might we ensure that all learners can access and participate in meaningful, challenging learning opportunities? #UDL @AppleEDU #AppleEduChat \n\nhttps://t.co/bRl2aKnogj'"
725,b'Looking forward to seeing everyone this afternoon #swift #AppleEDUchat #CriticalThinking https://t.co/CQJ58gaJhw'
726,b'RT @meesterkurt: Behind the Scenes - Designing an AR Experience \n\n\xf0\x9f\x93\xb1@ScavengarEDU app\n\xf0\x9f\xa7\x8a 3D Assets\n\xf0\x9f\x8c\x8d Playground\n\nTransform any space into a l\xe2\x80\xa6'
727,"b'Meet Cmdr. Elise Booster. She\xe2\x80\x99s going to help me train the next group of astronauts. They\xe2\x80\x99ll be using their literacy, numeracy, critical thinking, and problem solving skills in their astronaut training book. Stay tuned for updates #AppleEDUChat #NASA #STEM https://t.co/x7IRsDqPEi'"
728,b'Our library of podcasters get to work ready for the next series of CorpusArtCast!!! #EveryoneCanCreate \xe2\x81\xa6@CorpusCCC\xe2\x81\xa9 #AppleEduChat https://t.co/IEzercBqCF'
729,"b'@breicher @The_Tech_Lady @JLenore24 @ProfJPizzo @mrsleban @GreenScreenGal @MannyDiscoTech @SueTranchina @mrshowell24 @kiefersj @Rangathetrainer Smartphones. Working with high school students (or possibly middle school) who have the ability to use apps for photos &amp; videos. For iPhone, Camera app, iMovie &amp; Clips. For all smartphones, the @AdobeSpark suite &amp; host on @SchoolTube. @AppleEDU #AppleEDUchat #powerofvideo'"
730,b'RT @mrkpyp: Great time collaborating with my pal @_ForTeachers today. Her Ss\xe2\x80\x99s video editing really took my imagination to 3 very different\xe2\x80\xa6'
731,b'RT @iJoeRobinson: Whoa! /downloads /listens #AppleEDUchat #AppleEDULeaderChat #AppleTeacher #learningwithapple https://t.co/9PIrGl6CeK'
732,b'RT @iJoeRobinson: Whoa! /downloads /listens #AppleEDUchat #AppleEDULeaderChat #AppleTeacher #learningwithapple https://t.co/9PIrGl6CeK'
733,b'\xf0\x9f\x92\x96Happy #InternationalWomensDay to all of lovely ladies adding their own special flair to the world each day! #TheWalkingEd  @AppleEDU #AppleWatch #AppleEDUchat https://t.co/ZHsLVUkU3K'
734,"b'RT @techclassrocks: Very fortunate to have these women in my life \xe2\x98\xba\xef\xb8\x8f.\n\xe2\x9d\xa4\xef\xb8\x8f to all who inspire, support &amp; challenge me to do more!\n\n#AppleEDUc\xe2\x80\xa6'"
735,b'RT @meesterkurt: Creating an Augmented Reality Experience with @ScavengarEDU about incredible women\xf0\x9f\x91\xa9\xf0\x9f\xa7\x95\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\xa6\xb3 who inspire us to unlock\xf0\x9f\x94\x93 new leve\xe2\x80\xa6'
736,b'RT @meesterkurt: Behind the Scenes - Designing an AR Experience \n\n\xf0\x9f\x93\xb1@ScavengarEDU app\n\xf0\x9f\xa7\x8a 3D Assets\n\xf0\x9f\x8c\x8d Playground\n\nTransform any space into a l\xe2\x80\xa6'
737,b'RT @techclassrocks: 5th grade is creating new strumming patterns for their #Ukulele songs.  \xe2\x9d\xa4\xef\xb8\x8f how the strong visual and audio of the Beat\xe2\x80\xa6'
738,b'#AppleEDUchat friends: anyone? https://t.co/JmDkmAJv6V'
739,"b'RT @JacobWoolcock: Just in case you missed it last night, here\xe2\x80\x99s a new #QuickLesson for the week!\n#AppleEDUchat #EveryoneCanCreate'"
740,b'#MediaMentorMonth balance:\n\n\xf0\x9f\x9a\xab\xf0\x9f\x93\xb1\xf0\x9f\x92\xbb Schedule 30 minutes with your child with all devices turned off.\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc All activities available at https://t.co/trVuN01cqN\n\n#AppleEDUchat #GoogleEI #MIEExpert #digcit #isedcoach #edtech @watnunu @chamada #pypchat https://t.co/HkmmfVX1zk'
741,"b'RT @CASCougars: On #EveryoneCanCreate Day, Ms. Abreu\xe2\x80\x99s class collaborated with @MsbatistaL bilingual kindergarten class to share similariti\xe2\x80\xa6'"
742,b'RT @Mrs_Educate: Join me and \xe2\x81\xa6@MrsLauraW\xe2\x81\xa9 host this amazing chat tomorrow at 8pm GMT\n\n#AppleEDUchat \xe2\x81\xa6@AppleEDU\xe2\x81\xa9 #IWD2021 #InternationalWome\xe2\x80\xa6'
743,b'Join me and \xe2\x81\xa6@MrsLauraW\xe2\x81\xa9 host this amazing chat tomorrow at 8pm GMT\n\n#AppleEDUchat \xe2\x81\xa6@AppleEDU\xe2\x81\xa9 #IWD2021 #InternationalWomensDay https://t.co/cl3MlyAKRF'
744,b'RT @meesterkurt: Behind the Scenes - Designing an AR Experience \n\n\xf0\x9f\x93\xb1@ScavengarEDU app\n\xf0\x9f\xa7\x8a 3D Assets\n\xf0\x9f\x8c\x8d Playground\n\nTransform any space into a l\xe2\x80\xa6'
745,b'RT @mcoutts81: My little creative made this in @procreate today. Off the cuff with zero prompt or guidance. Nothing stops her curiosity and\xe2\x80\xa6'
746,b'RT @meesterkurt: Creating an Augmented Reality Experience with @ScavengarEDU about incredible women\xf0\x9f\x91\xa9\xf0\x9f\xa7\x95\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\xa6\xb3 who inspire us to unlock\xf0\x9f\x94\x93 new leve\xe2\x80\xa6'
747,b'RT @meesterkurt: Creating an Augmented Reality Experience with @ScavengarEDU about incredible women\xf0\x9f\x91\xa9\xf0\x9f\xa7\x95\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\xa6\xb3 who inspire us to unlock\xf0\x9f\x94\x93 new leve\xe2\x80\xa6'
748,b'RT @JacobWoolcock: \xe2\x98\x80\xef\xb8\x8fThis new #QuickLesson will get you exploring the Magic Move transition in #Keynote to create a Sunrise Scene.\n\n\xe2\x9b\x85\xef\xb8\x8fHave\xe2\x80\xa6'
749,"b""@JacobWoolcock @TwitterSupport I think it's just a misunderstanding to be fair.  Memoji can look similar, I've seen lots who are so similar to mine! Also, could be genuinely trying to connect with folk and his tweet looks like asking for recommendations and ideas, which is what #appleeduchat is all about!"""
750,b'Alright Martin!  My kiddos have taken to drawing you their requests! \xf0\x9f\x98\x82 This 3rd grader was inspired by your emoji page! #AppleEDUchat #EveryoneCanCreate https://t.co/u4I7k99NJl https://t.co/RqUqq1jQ56'
751,b'RT @EDUcre8ive: \xf0\x9f\x92\x9a\n\nI love that iOS has screen capture - makes it so easy to do this kind of thing in the WeVideo app \n\n#edtech #edutwitter\xe2\x80\xa6'
752,b'RT @_ehughes_: Using the Beat Sequencer w/ #GarageBand to visualise &amp; hear strumming patterns is central to the #Ukulele book from @techcla\xe2\x80\xa6'
753,b'RT @techclassrocks: 5th grade is creating new strumming patterns for their #Ukulele songs.  \xe2\x9d\xa4\xef\xb8\x8f how the strong visual and audio of the Beat\xe2\x80\xa6'
754,b'RT @meesterkurt: Creating an Augmented Reality Experience with @ScavengarEDU about incredible women\xf0\x9f\x91\xa9\xf0\x9f\xa7\x95\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\xa6\xb3 who inspire us to unlock\xf0\x9f\x94\x93 new leve\xe2\x80\xa6'
755,b'Behind the Scenes - Designing an AR Experience \n\n\xf0\x9f\x93\xb1@ScavengarEDU app\n\xf0\x9f\xa7\x8a 3D Assets\n\xf0\x9f\x8c\x8d Playground\n\nTransform any space into a learning journey. \n\n#AppleTeacher #AppleEDUchat #ADE2021 https://t.co/zU1ODFEglY'
756,b'RT @meesterkurt: Creating an Augmented Reality Experience with @ScavengarEDU about incredible women\xf0\x9f\x91\xa9\xf0\x9f\xa7\x95\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\xa6\xb3 who inspire us to unlock\xf0\x9f\x94\x93 new leve\xe2\x80\xa6'
