,Tweets
1655,b'RT @Geeky_Dipak: @motorolaindia Moto g10 power\xe2\x9c\x93 \xe2\x82\xb914999\nMoto g30\xe2\x9c\x93 \xe2\x82\xb915999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog30 #Guess\xe2\x80\xa6'
1656,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1657,"b'@motorolaindia Moto g10 power : \xe2\x82\xb914,990/-\nMoto g30 : \xe2\x82\xb9 15,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30\n\nJoin \n@RakeshVerma_Ind \n@rdsoprince \n@blessedkamal \n@vipulchauhan111 \n@lavishpatni07'"
1658,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1659,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1660,"b'RT @ManishBhalgami1: @motorolaindia Moto G10 \xe2\x82\xb9 12,399 and\n Moto G30 \xe2\x82\xb914,399\n@motorolaindia\n #motog10power #motog30\nTag\n@sonalbhalgamiya\n@Ch\xe2\x80\xa6'"
1661,"b'@motorolaindia Moto G10 \xe2\x82\xb9 12,399 and\n Moto G30 \xe2\x82\xb914,399\n@motorolaindia\n #motog10power #motog30\nTag\n@sonalbhalgamiya\n@Chhbi777 \n@NidhiSomani19 \n@LaxmiPatell \n@Nitish_nix \n@sam__leez \n@Sanket_b23 \n@ayush_bhakkad \n@Gayatri31163120 \n@Tusharinspires \n@vijumicro1985 \n@KpParmar98 \n@MojidraShital'"
1662,"b'@motorolaindia My guesses wud be:\n\n\xe2\x9c\x85Moto g10 POWER - 14,999/-\n\n\xe2\x9c\x85Moto g30 - 16,999/-\n \n#PowerfulAllRounder  \n\n#SolidAllRounder #GuessThePrice  #AsliAllRounders\n#Contest \xc2\xa0\n#motog10power  #motog30\n\n@motorolaindia \n\nTag\n@HGatkine \n@AMEYAPANNASE \n@rohanraut999\n@MohatkarTejas\n@unpredi_bhawesh'"
1663,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1664,"b'@motorolaindia Moto G10 Power \xe2\x82\xb911,999/- \nMoto G30  \xe2\x82\xb914,999/-\n#motog10power #MotoG30\n@motorolaindia\n\xe2\x9c\x85 Join frnds...\n@Jinal_Pari\n@Rushabh96182231 @Ameehirani'"
1665,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1666,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1667,"b'RT @motorolaindia: Make the best of every moment with the #PowerfulAllRounder that comes with a 6000 mAh battery, 48MP Quad Camera, Advance\xe2\x80\xa6'"
1668,"b'RT @abha_mishra19: @motorolaindia #motog10power Rs. 13,999/-\n#MotoG30  Rs. 15,999/-\n@motorolaindia \n#PowerfulAllRounder #SolidAllRounder #G\xe2\x80\xa6'"
1669,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1670,"b'@motorolaindia #motog10power Rs. 13,999/-\n#MotoG30  Rs. 15,999/-\n@motorolaindia \n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\nJoin @Dazzlingcutie1 @abha_mishra19 @sandeep0_07  @imPalak18 @Smiley_Bharati @amisha288 @satyapaljain_86 @SJ_0016 @Moral_Coder'"
1671,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1672,b'@motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@motorolaindia \n\n@Sanjiv_34 \n@blessedkamal \n@Dinesh_the_star \n@ranchikuldeep \n@Dayal_5 \n@mysterioussu'
1673,"b'@motorolaindia #motog10power \n#Motog30  \n#moto10power expected price 12,500\n#motog30 expected price  16,500\n\n@raju909p \n@Neha__sweety'"
1674,b'RT @Dazzlingcutie1: @motorolaindia Moto g10 power \xf0\x9f\x91\x89 \xe2\x82\xb914999\nMoto g30 \xf0\x9f\x91\x89 \xe2\x82\xb915999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog30 #\xe2\x80\xa6'
1675,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1676,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1677,"b'#motog10power - \xe2\x82\xb911,999/-\n#motog30 - \xe2\x82\xb914,999/- \n\n#PowerfulAllRounder #SolidAllRounder @motorolaindia #GuessThrPrice #AsliAllRounders \n\nJoin:\n@callmemanojkr  @proudy_indian1 https://t.co/9V65uWVXUO'"
1678,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1679,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1680,"b'@motorolaindia #motog10power - \xe2\x82\xb911,999/-\n#motog30 - \xe2\x82\xb914,999/- \n\n#PowerfulAllRounder #SolidAllRounder @motorolaindia #GuessThrPrice #AsliAllRounders \n\nJoin:\n@callmemanojkr  @proudy_indian1'"
1681,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1682,"b'RT @JagroopSinghh: @motorolaindia My guessed price ,\nFor Moto G10Power price will be \xe2\x82\xb913,300/-\n \nFor Moto G30 price will be \xe2\x82\xb915,900/-\n\n#mot\xe2\x80\xa6'"
1683,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1684,b'@motorolaindia Moto g10 power \xf0\x9f\x91\x89 \xe2\x82\xb912999/-\nMoto g30 \xf0\x9f\x91\x89 \xe2\x82\xb915600/-\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog30 #GuessThePrice #AsliAllRounders \n@motorolaindia \n\nTag-\n@wahulkarGaurav \n@rohanraut999 \n@MohatkarTejas \n@Sheetal155 \n@imPalak18'
1685,"b'@motorolaindia My guessed price ,\nFor Moto G10Power price will be \xe2\x82\xb913,300/-\n \nFor Moto G30 price will be \xe2\x82\xb915,900/-\n\n#motog10power #MotoG30 @motorolaindia  \n#PowerfulAllrounder  #SolidAllrounder \n\nJoin- @Rajwinderkauur @Ranjeet77093158 @abha_mishra19 @Nehathegreat1'"
1686,b'@motorolaindia Moto g10 power- \xe2\x82\xb910990\nMoto g30-  \xe2\x82\xb912990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@AaravS28 @Sandeep13_ @Param_Sidhu77 @mysterioussu @Aishhwaryaa1'
1687,b'@motorolaindia #motog10power 11990\n#MotoG30 15990 join @babubeg1 @SUBIRedm'
1688,"b'RT @motorolaindia: Introducing #motog10power, the perfect #PowerfulAllRounder! It comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
1689,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1690,"b'@motorolaindia \xe2\x8f\xa9Moto g10 POWER - 14,999/-\n\xe2\x8f\xa9Moto g30 - 16,999/-\n \n#PowerfulAllRounder  \n\n#SolidAllRounder #GuessThePrice  #AsliAllRounders\n#Contest \xc2\xa0\n#motog10power  #motog30\n@motorolaindia \n\nFriends\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\n@abha_mishra19 \n@Abhi1424P'"
1691,"b'RT @motorolaindia: Get cool new features with an ad-free, bloatware-free clean UI in the #AsliAllRounders #motog10power &amp; #motog30! How? Be\xe2\x80\xa6'"
1692,"b'RT @motorolaindia: Feel the freedom to explore more with a powerful 6000 mAh Battery that lasts up to 67 hours* on a single charge, quite l\xe2\x80\xa6'"
1693,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1694,"b'@motorolaindia #motog10power \nprice for 4+64: Rs9,999\n\n#motog30\nprice for 6+128: Rs 13,999\n\n@kunwarjora @ajaykum56379057 @Naman2510'"
1695,"b'@motorolaindia My guess for Moto G10Power price should be \xe2\x82\xb915,990/- \n&amp; For Moto G30 price should be \xe2\x82\xb917,990/-\n#motog10power #MotoG30 \nJoin\n@abha_mishra19 @alpa_gupta @chilled_Sup @saritabhavika @swathi_Official @Sheetukankariy1  @kusumsolanki17 @Dazzlingcutie1 @imPalak18 @Smiley_Bharati'"
1696,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1697,b'@motorolaindia Moto G10 power price \xe2\x82\xb99999 4 gb variant\nMoto G30 price \xe2\x82\xb9 13999 4 gb variant\n#Motog30 #motog10power\n@one_by_two @PDdancing'
1698,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1699,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1700,"b'\xe2\xa4\xb5\xef\xb8\x8f Here are my guess works \xf0\x9f\x98\x8c\n\n(1) Motog10power \xe2\x9e\xa1\xef\xb8\x8f [ Rs.14,999/-]\n\n(2) Motog30 \xe2\x9e\xa1\xef\xb8\x8f [ Rs.15,999/-]\n\n\xe2\x99\xa5\xef\xb8\x8f#PowerfulAllRounder \n\n\xf0\x9f\x94\xa5#SolidAllRounder \n\n\xf0\x9f\x98\x8d#GuessThePrice  \n\n\xf0\x9f\x92\x95#AsliAllRounders\n\xc2\xa0\n \xf0\x9f\x94\xa5#motog10power  \n\n\xf0\x9f\x96\xa4#motog30\n\n@SJ_0016 \n\n@MumNishi \n\n@anuj121 \n\n@VHetal \n\n@Rutik_079 \n\n@girtry https://t.co/VQwygelbJV'"
1701,"b'RT @khemka_nidhi: @motorolaindia For Moto G10Power - \xe2\x82\xb912,999/- \nFor Moto G30 - \xe2\x82\xb917,999/-\n\n#motog10power #MotoG30\n@motorolaindia \n\nJoin\n@Des\xe2\x80\xa6'"
1702,"b'@motorolaindia For Moto G10Power - \xe2\x82\xb912,999/- \nFor Moto G30 - \xe2\x82\xb917,999/-\n\n#motog10power #MotoG30\n@motorolaindia \n\nJoin\n@Desimasti786 @vishalokhanna @RaviKhemka6 @Shraddh84128600'"
1703,b'@motorolaindia Replying to \n\n@motorolaindia\n\n#motog10power at 12999\nand #motog30 at 14999\n@JAYESHBOHRA9 \n@krishnadave143'
1704,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1705,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1706,b'@motorolaindia Moto g10 power \xe2\x82\xb911999 only\nMoto g30 \xe2\x82\xb913999 only\n\n#AsliAllRounders \n#motog10power #motog30 @RajeshKTripathy  @AdityaG'
1707,"b'Motog10power - \xe2\x82\xb913,999/-\nMotoG30 - \xe2\x82\xb915,999/-\n#motog10power \n#Motog30 \n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\n@motorolaindia\nJoin:-\n@iamshresthraj \n@MR_ADITYA_1125 \n@proudy_indian1 https://t.co/8weWK7Iolp'"
1708,"b'@motorolaindia Motog10power - \xe2\x82\xb913,999/-\nMotoG30 - \xe2\x82\xb915,999/-\n#motog10power \n#Motog30 \n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\n@motorolaindia\nJoin:-\n@iamshresthraj \n@MR_ADITYA_1125 \n@proudy_indian1'"
1709,"b'@motorolaindia \xe2\xa4\xb5\xef\xb8\x8f Here are my guess works \xf0\x9f\x98\x8c\n\n(1) Motog10power \xe2\x9e\xa1\xef\xb8\x8f [ Rs.14,999/-]\n\n(2) Motog30 \xe2\x9e\xa1\xef\xb8\x8f [ Rs.15,999/-]\n\n\xe2\x99\xa5\xef\xb8\x8f#PowerfulAllRounder \n\n\xf0\x9f\x94\xa5#SolidAllRounder \n\n\xf0\x9f\x98\x8d#GuessThePrice  \n\n\xf0\x9f\x92\x95#AsliAllRounders\n\xc2\xa0\n \xf0\x9f\x94\xa5#motog10power  \n\n\xe2\x9d\xa4\xef\xb8\x8f#motog30\n\n@SJ_0016 \n\n@MumNishi \n\n@anuj121 \n\n@VHetal \n\n@Rutik_079 \n\n@girtry'"
1710,b'@motorolaindia Replying to \n@motorolaindia\n#motog10power at 9999 and #motog30 at 12999 @trivedi86960425 @immarvadi'
1711,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1712,"b'@motorolaindia For Moto G10Power - \xe2\x82\xb912,999/- \nFor Moto G30 - \xe2\x82\xb917,999/-\n\n#motog10power #MotoG30\n\n@abha_mishra19 \n @khemka_nidhi \n@LuvyaJoshi'"
1713,"b'@motorolaindia For Moto G10Power price should be \xe2\x82\xb912,999/- \nFor Moto G30 price should be \xe2\x82\xb917,999/-\n#motog10power #MotoG30\n\n@motorolaindia \xe2\x9d\xa4\xef\xb8\x8f\n\nFollowing Since Long \xf0\x9f\x92\xaf\n\nTags :-\n@Utsavi_W \n@AmitRGirnale \n@sanks_rocks \n@shekhar2776 \n@Kalpesh86328921 \n@Hitesh92481936'"
1714,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1715,"b'@motorolaindia G10 power at rs 11,999\nAnd moto g30 at14,999 #motog10power #MotoG30 @GyanTherapy @HFVUnbox @naman_nan'"
1716,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1717,b'RT @eyedipu: @motorolaindia \xf0\x9f\xa6\x84\xf0\x9f\x8e\x89 Moto g\xc2\xb9\xe2\x81\xb0 power \xe2\x9c\xa8 \xe2\x82\xb913999/-\n\n\xf0\x9f\xa6\x84\xf0\x9f\x8e\x89Moto g\xc2\xb3\xe2\x81\xb0  \xe2\x9c\xa8 \xe2\x82\xb915999/-\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog\xe2\x80\xa6'
1718,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1719,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1720,"b'@motorolaindia My guesses are\nMoto g10 power - Rs.14,990\nMoto g30 - Rs. 15,990\n\n#motog10power #MotoG30 \n@motorolaindia\n@Harshdaga08 @Mrwhosetheboss'"
1721,"b'@motorolaindia #motog30 = \xe2\x82\xb912,999\n#motog10power = \xe2\x82\xb914,999\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders \nJoin In\n@IamRDSharma @OVaishali0'"
1722,"b'@motorolaindia Motog10 Power :- 11,990/-\nMotog30 :- 13,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders\n#Contest #motog10power #motog30\n\nTag My Two Friends\n\n@amitbhawani \n@AdityaSKashyap1 \n \n@motorolaindia'"
1723,"b'@motorolaindia #PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders. #Contest \n.\n#motog10power= Rs.14,990 #motog30 = 15,990\nTagging:\n@iuday5571 \n@porwal_sarika'"
1724,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1725,"b'@motorolaindia For Moto G10Power - \xe2\x82\xb912,999/- \nFor Moto G30 - \xe2\x82\xb917,999/-\n\n#motog10power #MotoG30\n\n@Prachii10 \n @khemka_nidhi \n@LuvyaJoshi'"
1726,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1727,"b'RT @abha_mishra19: @motorolaindia #motog10power Rs. 13,999/-\n#MotoG30  Rs. 15,999/-\n@motorolaindia \n#PowerfulAllRounder #SolidAllRounder #G\xe2\x80\xa6'"
1728,"b""RT @motorolaindia: It's safe, it's secure, and it is protected end-to-end with four layers of security! Yes, it is the #AsliAllRounders #mo\xe2\x80\xa6"""
1729,"b'RT @motorolaindia: Feel the freedom to explore more with a powerful 6000 mAh Battery that lasts up to 67 hours* on a single charge, quite l\xe2\x80\xa6'"
1730,"b'RT @motorolaindia: Make the best of every moment with the #PowerfulAllRounder that comes with a 6000 mAh battery, 48MP Quad Camera, Advance\xe2\x80\xa6'"
1731,"b'@motorolaindia My guessed price ,\nFor Moto G10Power price will be \xe2\x82\xb914,990/-\n \nFor Moto G30 price will be \xe2\x82\xb915,990/-\n\n#motog10power #MotoG30 @motorolaindia  \n#PowerfulAllrounder  #SolidAllrounder'"
1732,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1733,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1734,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1735,"b'@motorolaindia 1)Moto g10 power:  \xe2\x82\xb911,990/-\n2)Moto g30:  \xe2\x82\xb914,990/-\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30'"
1736,"b'@motorolaindia Muge lgta hai\xf0\x9f\xa4\x94\n\n\xf0\x9f\x91\x89Moto G10 Power \xe2\x82\xb912,999/- \n\xf0\x9f\x91\x89Moto G30  \xe2\x82\xb917,999/-\n\n#motog10power #MotoG30\nAm I right team @motorolaindia \xf0\x9f\xa4\x9e\xf0\x9f\xa4\x9e\xf0\x9f\xa4\x9e\n\nTum bolo @VHetal @DivzArjun @blessedkamal'"
1737,b'@motorolaindia #PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders. #Contest \n\n1. moto g10 power 12999/- &amp;\nmoto g30 14999/-\n2. #motog10power &amp; \n#motog30 @motorolaindia \nTag\n3. @oraizymedia\n@AtaurFauzan'
1738,"b""The @Moto #MotoG30 and #MotoG10Power are launching tomorrow in India!  Here's how you can watch it live. \n\nhttps://t.co/83jWyyWQzW https://t.co/LwrxUr3l2y"""
1739,"b'@motorolaindia Motog10 Power :- 11,499/-\nMotog30 :- 14,499/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders\n#Contest #motog10power #motog30\n\nTag My Two Friends\n\n@Himalayapatel4 \n@PramodArya28  \n \n@motorolaindia'"
1740,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1741,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1742,"b'@motorolaindia Muge lgta hai\xf0\x9f\xa4\x94\n\n\xf0\x9f\x91\x89Moto G10 Power \xe2\x82\xb912,999/- \n\xf0\x9f\x91\x89Moto G30  \xe2\x82\xb917,999/-\n\n#motog10power #MotoG30\nAm I right team @motorolaindia \xf0\x9f\xa4\x9e\xf0\x9f\xa4\x9e\xf0\x9f\xa4\x9e\n\nTum bolo @gsrana4580 @Chandansahoo378 @THEMURTUZA @Aishhwaryaa1'"
1743,"b'@motorolaindia #PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30\n\n-\xe3\x80\x8bMoto g10 power:- \xe2\x82\xb914,990/-\n-\xe3\x80\x8bMoto g30:- \xe2\x82\xb9 15,990/-'"
1744,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1745,"b'@motorolaindia For Moto G10Power price should be \xe2\x82\xb911,999/- \nFor Moto G30 price should be \xe2\x82\xb914,999/-\n#motog10power #MotoG30\n@motorolaindia\nJoin now @mona_sensible @manugarg2547'"
1746,"b'@motorolaindia Moto g10 Power - Rs. 11,999 /-\nMoto g30 -Rs. 14,999/-\n\n#PowerfulAllRounder #SolidAllRounder #AsliAllRounders #motog10power #motog30\n\n@motorolaindia \n\nTag\n@TamilAmmu18 \n@urspurusoth'"
1747,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1748,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1749,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1750,"b'@motorolaindia My guesses wud be:\n\n\xe2\x9c\x85Moto g10 POWER - 14,999/-\n\n\xe2\x9c\x85Moto g30 - 16,999/-\n \n#PowerfulAllRounder  \n\n#SolidAllRounder #GuessThePrice  #AsliAllRounders\n#Contest \xc2\xa0\n#motog10power  #motog30\n\n@motorolaindia \n\nJOIN IN\n@Lokesh_jhaa \n@blessedkamal \n@Barbiegiri_ \n@dashingg_md'"
1751,"b'@motorolaindia 1\xe2\x83\xa3__Moto G10 Power - \xe2\x82\xb99,990/-\n\n2\xe2\x83\xa3________Moto G30 - \xe2\x82\xb912,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 \n@motorolaindia \n\nTag \n@prvzptl \n@Dep301'"
1752,b'@motorolaindia Moto G10 \xe2\x82\xb9 9990 and Moto G30 \xe2\x82\xb913990\n #motog10power #motog30\nJoin\n@dre74ever\n@laksh7h'
1753,b'@motorolaindia Moto G10 \xe2\x82\xb9 9990 and Moto G30 \xe2\x82\xb914990\n #motog10power #motog30\nJoin\n@dre74ever\n@laksh7h'
1754,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1755,b'@motorolaindia Moto G10 \xe2\x82\xb9 13990 and Moto G30 \xe2\x82\xb917990\n #motog10power #motog30\nJoin\n@dre74ever\n@laksh7h'
1756,b'RT @Geeky_Dipak: @motorolaindia Moto g10 power\xe2\x9c\x93 \xe2\x82\xb914999\nMoto g30\xe2\x9c\x93 \xe2\x82\xb915999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog30 #Guess\xe2\x80\xa6'
1757,b'RT @eyedipu: @motorolaindia \xf0\x9f\xa6\x84\xf0\x9f\x8e\x89 Moto g\xc2\xb9\xe2\x81\xb0 power \xe2\x9c\xa8 \xe2\x82\xb913999/-\n\n\xf0\x9f\xa6\x84\xf0\x9f\x8e\x89Moto g\xc2\xb3\xe2\x81\xb0  \xe2\x9c\xa8 \xe2\x82\xb915999/-\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog\xe2\x80\xa6'
1758,"b'RT @Subrata37606833: @motorolaindia @motorolaindia \nMoto G10 Power Price = Rs. 9,999\nMoto G30 Price = Rs. 11,999 \n#motog10power #MotoG30 \nJ\xe2\x80\xa6'"
1759,b'@motorolaindia Moto G10 \xe2\x82\xb9 14999 and Moto G30 \xe2\x82\xb916999\n #motog10power #motog30\nJoin\n@dre74ever\n@laksh7h'
1760,"b'@motorolaindia @motorolaindia \nMoto G10 Power Price = Rs. 9,999\nMoto G30 Price = Rs. 11,999 \n#motog10power #MotoG30 \nJoin:\n@PritiNivoriya \n@sengodan4 \n@AbhishekIPLFeak \n@MiralBhavsar1 \n@Soniyaskjain1 \n@FrostKiyara \n@coolpritish98 \n@prashpatel_ \n@Gayathrimohan_ \n@Antony0762\n@buttter__cup\n@VHetal'"
1761,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1762,"b'RT @motorolaindia: Make the best of every moment with the #PowerfulAllRounder that comes with a 6000 mAh battery, 48MP Quad Camera, Advance\xe2\x80\xa6'"
1763,"b'@motorolaindia @motorolaindia \n\n\xe2\x9e\xa1\xef\xb8\x8f#motog10power - \xe2\x82\xb911,990 \xf0\x9f\x93\xb1\n\xe2\x9e\xa1\xef\xb8\x8f#motog30 - \xe2\x82\xb914,990 \xf0\x9f\x93\xb1\n\nTagging\n@motorolaindia\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest  #motog10power #motog30 \n\n@IshaAggarwal09\n@the_pride_grv'"
1764,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1765,"b'@motorolaindia My guesses are \n\nmoto g10 power - \xe2\x82\xb913,999\nmoto g30 - \xe2\x82\xb917,000\n\n#motog10power #motog30 @motorolaindia \n\nGuys join this contest\n@Madhumathy15\n @padmajaanu\n @haarveenkaaur\n @Dads_Ggirl\n @AaRTzuu\n @ramyavellanki\n @Moral_Coder\n @Reena_Rana2015\n @rehanak55\n @GreenMirchiii'"
1766,"b'@motorolaindia #motog10power Rs. 13,999/-\n#MotoG30  Rs. 15,999/-\n@motorolaindia \n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\nJoin\n@ankitx420 \n@Alpesh_2308\n@GoldQueenie4 \n@Rekha_i_am\n@khemka_nidhi\n@Anuj_Malik01\n@Jay_parmar17 \n@SachinG33833053\n@EktaPat22226716'"
1767,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
